region,year,no_of_accidents,no_of_dead,no_of_injured,driving_licenses,x,y
Al-Baha,2016,3618,185,1227,4614,20.1484058503,41.4665484892
Al-Baha,2017,1414,134,1007,4131,20.1484058503,41.4665484892
Al-Jouf,2016,10212,245,920,9371,29.9677445762,39.5570371172
Al-Jouf,2017,10469,240,862,8091,29.9677445762,39.5570371172
Al-Qaseem,2016,25664,397,1513,9180,26.1967063704,43.3429998455
Al-Qaseem,2017,22405,319,1446,6318,26.1967063704,43.3429998455
Assir,2016,32684,983,2541,41367,19.1387847401,42.941470036
Assir,2017,25245,828,2368,39133,19.1387847401,42.941470036
Eastern,2016,101619,1113,4893,142307,23.2883307307,50.1478302439
Eastern,2017,81433,963,4073,126816,23.2883307307,50.1478302439
Hail,2016,10199,299,932,54507,27.400845724,41.4406960508
Hail,2017,9379,265,773,22035,27.400845724,41.4406960508
Jazan,2016,25873,514,2259,11504,17.2072313962,42.6525807422
Jazan,2017,22161,466,2207,18345,17.2072313962,42.6525807422
Madinah,2016,14475,822,4184,24540,24.927534539,39.4918237173
Madinah,2017,16070,580,2917,36165,24.927534539,39.4918237173
Makkah,2016,134838,2243,12383,136055,21.628962766,41.2636898334
Makkah,2017,145541,1641,10623,142487,21.628962766,41.2636898334
Najran,2016,3235,173,706,2153,18.4511003068,46.8688495726
Najran,2017,3193,194,766,13825,18.4511003068,46.8688495726
Northern Boarder,2016,13196,193,631,4958,30.197074783,41.8171186952
Northern Boarder,2017,11540,112,374,5280,30.197074783,41.8171186952
Riyadh,2016,141736,1430,4207,242851,23.0814341634,45.5857512766
Riyadh,2017,99925,1399,4540,495307,23.0814341634,45.5857512766
Tabouk,2016,16031,434,1724,13610,27.90165499,37.2598581394
Tabouk,2017,11713,348,1243,10232,27.90165499,37.2598581394
